year(Fecha);Ciudad;Semana;RH;PS,,
2011;Cali;13;84,49;79,20857143
2012;Barranquilla;13;78,80571429;100,5471429
2012;Bogota;13;83,10428571;82,32
2012;Cali;13;87,06714286;79,23142857
2012;Medellin;13;87,44285714;81,58285714
2013;Bogota;13;76,88285714;82,32285714
2013;Cali;13;81,34;79,27
2013;Barranquilla;13;75,76714286;100,5757143
2014;Bogota;13;78,29857143;82,32571429
2014;Cali;13;81,45714286;79,26142857
2014;Medellin;13;83,82857143;81,61142857
2014;Barranquilla;13;72,60714286;100,5942857
2015;Cali;13;88,37571429;79,37428571
2015;Medellin;13;90,01714286;81,72285714
2015;Barranquilla;13;76,03714286;100,7214286
2016;Bogota;13;68,52714286;82,38428571
2016;Cali;13;81,22142857;79,34285714
2016;Medellin;13;79,85857143;81,66428571
2016;Barranquilla;13;73,26142857;100,5742857
2017;Bogota;13;84,57;82,36714286
2017;Medellin;13;89,35142857;81,63285714
2018;Bogota;13;82,07142857;82,23
2018;Cali;13;88,57;79,17
2018;Medellin;13;89,06714286;81,50285714
2018;Barranquilla;13;73,52571429;100,55
2019;Bogota;13;81,35428571;82,32714286
2019;Cali;13;86,07857143;79,26571429
2019;Medellin;13;91,11142857;81,60285714
2019;Barranquilla;13;78,94142857;100,62
2020;Bogota;13;80,41285714;82,21142857
2020;Cali;13;87,74428571;79,17714286
2020;Medellin;13;85,48428571;81,51142857
2020;Barranquilla;13;72,45;100,5071429
2010;Barranquilla;14;74,17714286;100,4614286
2010;Bogota;14;79,05571429;82,24142857
2010;Cali;14;84,33571429;79,19
2010;Medellin;14;91,61142857;81,50571429
2011;Barranquilla;14;74,88857143;100,5214286
2011;Bogota;14;83,92571429;82,26571429
2011;Cali;14;89,19428571;79,22285714
2011;Medellin;14;91,21857143;81,54857143
2012;Barranquilla;14;80,2;100,4957143
2012;Bogota;14;82,47285714;82,28857143
2012;Cali;14;87,76428571;79,22285714
2012;Medellin;14;90,19;81,57
2013;Cali;14;83,03428571;79,29571429
2013;Medellin;14;89,31428571;81,63571429
2013;Barranquilla;14;76,08571429;100,5428571
2014;Bogota;14;78,76285714;82,3
2014;Cali;14;83,97142857;79,23714286
2014;Medellin;14;86,77857143;81,58
2014;Barranquilla;14;76,52285714;100,4885714
2015;Cali;14;85,09428571;79,14571429
2015;Medellin;14;91,24428571;81,49428571
2015;Barranquilla;14;73,78142857;100,4842857
2016;Bogota;14;84,6;82,41857143
2016;Cali;14;87,37285714;79,34714286
